frame,stamp,lidar_x,lidar_y,lidar_z,enu_x,enu_y,enu_z,error_m,rmse_m
120,1769515224.519833803,19.855343,0.623307,0.105034,20.746396,-1.988583,0.024600,2.760872,1.971723
121,1769515224.619832993,20.169197,0.647561,0.107216,21.055365,-2.004622,0.027200,2.797458,2.004158
122,1769515224.719833136,20.481146,0.673029,0.100852,21.299663,-2.017326,0.029900,2.813008,2.035692
123,1769515224.819833517,20.792957,0.702377,0.101480,21.630626,-2.033154,0.026800,2.861887,2.067063
124,1769515224.919832230,21.095219,0.732470,0.103357,21.990308,-2.051374,0.029100,2.925147,2.099441
125,1769515225.019832373,21.401827,0.753510,0.102588,22.256218,-2.066222,0.028500,2.947263,2.133166
126,1769515225.119831562,21.694017,0.784330,0.109059,22.611410,-2.085661,0.028800,3.014117,2.166472
127,1769515225.219833374,21.991941,0.808881,0.112365,22.818031,-2.086594,0.031900,3.012088,2.196721
128,1769515225.319832802,22.284082,0.827447,0.112203,23.140017,-2.102892,0.033300,3.053807,2.228604
129,1769515225.419832945,22.584723,0.861204,0.104713,23.488674,-2.110023,0.041700,3.106331,2.262150
130,1769515225.519860029,22.875513,0.890380,0.107125,23.692912,-2.119663,0.042700,3.119720,2.295278
131,1769515225.619859219,23.152397,0.924136,0.109041,24.017135,-2.119009,0.050400,3.164166,2.329416
132,1769515225.719858885,23.441345,0.954816,0.106701,24.381070,-2.132506,0.054000,3.227603,2.363967
133,1769515225.819831371,23.742714,0.968800,0.109361,24.664984,-2.131194,0.057400,3.234694,2.398450
134,1769515225.919831753,24.040649,1.002881,0.105343,24.988383,-2.141291,0.059800,3.284218,2.432640
135,1769515226.019775629,24.340986,1.034323,0.101295,25.292074,-2.151573,0.063800,3.325043,2.453260
136,1769515226.119802713,24.643202,1.063180,0.103172,25.638480,-2.157075,0.066300,3.370754,2.503283
137,1769515226.219775677,24.950319,1.084396,0.104764,26.034278,-2.169933,0.068400,3.430299,2.524733
138,1769515226.319720507,25.253344,1.105420,0.106905,26.397725,-2.178616,0.070800,3.477903,2.561363
139,1769515226.419721127,25.615131,1.131913,0.098750,26.877049,-2.184287,0.072300,3.548284,2.599090
140,1769515226.519719839,25.970549,1.161736,0.087898,27.170528,-2.188041,0.074200,3.558250,2.636274
141,1769515226.619747400,26.366488,1.240534,0.103200,27.687154,-2.200182,0.070000,3.685619,2.675750
142,1769515226.719774485,26.738489,1.268111,0.105944,28.230905,-2.230398,0.063700,3.803769,2.717454
143,1769515226.819746971,27.091166,1.306229,0.100029,28.590772,-2.237165,0.060200,3.847863,2.759320
144,1769515226.919774294,27.468578,1.352223,0.095443,29.054535,-2.256605,0.051600,3.942184,2.802860
145,1769515227.019773960,27.840401,1.401210,0.097278,29.338513,-2.264340,0.050700,3.960147,2.845941
146,1769515227.219747305,28.541462,1.471438,0.090899,30.039946,-2.289900,0.051900,4.049030,2.905608
147,1769515227.419774055,29.237127,1.560241,0.086133,30.418344,-2.301486,0.047500,4.038527,2.964191
148,1769515227.519747257,29.593201,1.583260,0.079953,30.970214,-2.297390,0.056300,4.117787,3.008012
149,1769515227.619773626,29.931002,1.632781,0.079149,31.315084,-2.304117,0.056600,4.173171,3.052037
150,1769515227.719745874,30.282562,1.671285,0.078551,31.661423,-2.307243,0.063300,4.210722,3.096906
